15000
0
16000,2024-10-02
0,2024-10-02
0,2024-10-02
0,2024-10-02
39500,2024-10-02
0,2024-10-02
41000,2024-10-03
7000,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
8000,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
9000,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
12000,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
12000,2024-10-03
9000,2024-10-03
16000,2024-10-03
30000,2024-10-03
14000,2024-10-03
9000,2024-10-03
0,2024-10-03
10000,2024-10-03
39000,2024-10-03
9000,2024-10-03
1000,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
0,2024-10-03
11000,2024-10-04
1000,2024-10-04
46000,2024-10-04
70000,2024-10-04
20000,2024-10-04
10000,2024-10-04
49500,2024-10-04
85500,2024-10-04
4000,2024-10-04
30000,2024-10-04
26000,2024-10-04
4000,2024-10-04
19000,2024-10-04
0,2024-10-04
46500,2024-10-04
5000,2024-10-04
0,2024-10-04
10000,2024-10-04
8000,2024-10-04
28000,2024-10-04
0,2024-10-04
3000,2024-10-04
1000,2024-10-04
11000,2024-10-04
14500,2024-10-04
1000,2024-10-04
1000,2024-10-04
1000,2024-10-04
3000,2024-10-04
0,2024-10-04
0,2024-10-04
1000,2024-10-04
0,2024-10-04
3000,2024-10-04
8000,2024-10-04
24000,2024-10-04
2000,2024-10-04
166300,2024-10-04
0,2024-10-04
53000,2024-10-04
23000,2024-10-04
41000,2024-10-04
1000,2024-10-04
23000,2024-10-04
21000,2024-10-04
44000,2024-10-04
20000,2024-10-04
24000,2024-10-04
11000,2024-10-04
35000,2024-10-04
35000,2024-10-04
867500,2024-10-04
0,2024-10-04
12000,2024-10-04
43000,2024-10-04
5000,2024-10-04
1000,2024-10-04
0,2024-10-04
0,2024-10-05
0,2024-10-05
12000,2024-10-05
312700,2024-10-05
91000,2024-10-05
0,2024-10-05
54600,2024-10-05
50100,2024-10-05
52500,2024-10-05
13000,2024-10-05
22000,2024-10-06
0,2024-10-06
0,2024-10-06
71000,2024-10-06
33000,2024-10-06
